ts,o,h,l,c,v
1757664000000000,584.3,584.48,584.05,584.48,6437
1757664060000000,584.48,584.53,584.48,584.5,1774
1757664120000000,584.38,584.38,584.15,584.15,2248
1757664180000000,584.22,584.38,584.17,584.38,4487
1757664240000000,584.25,584.27,584.21,584.21,2029
1757664300000000,584.19,584.19,584.17,584.17,1994
1757664360000000,584.34,584.4,584.3,584.31,3951
1757664420000000,584.16,584.16,584.16,584.16,1439
1757664480000000,584.16,584.21,584.16,584.17,1985
1757664540000000,584.17,584.18,584.12,584.18,1891
1757664600000000,584.14,584.18,584.13,584.17,2629
1757664660000000,584.08,584.08,584.02,584.03,3479
1757664720000000,584.07,584.07,584.02,584.02,1316
1757664780000000,584,584,583.9,583.9,2355
1757664840000000,583.86,583.86,583.75,583.76,5306
1757664900000000,583.71,583.71,583.65,583.65,4480
1757664960000000,583.65,583.66,583.6,583.6,1520
1757665020000000,583.51,583.57,583.5,583.5,7910
1757665080000000,583.4,583.45,583.35,583.35,4095
1757665140000000,583.44,583.53,583.44,583.48,2276
1757665200000000,583.65,583.67,583.49,583.49,2525
1757665260000000,583.59,583.67,583.59,583.61,2781
1757665320000000,583.61,583.61,583.47,583.47,553
1757665500000000,583.81,583.81,583.8,583.8,849
1757665560000000,583.78,583.78,583.78,583.78,663
1757665740000000,583.83,583.87,583.83,583.87,543
1757665860000000,583.87,583.92,583.87,583.92,661
1757665920000000,583.88,583.88,583.87,583.87,330
1757666100000000,583.87,583.87,583.87,583.87,513
1757666160000000,583.81,583.82,583.8,583.82,2228
1757666220000000,583.9,583.9,583.9,583.9,757
1757666280000000,584.11,584.11,584.06,584.07,1346
1757666340000000,583.97,583.97,583.97,583.97,233
1757666400000000,583.93,583.96,583.93,583.96,653
1757666520000000,584.03,584.04,584.03,584.04,772
1757666640000000,583.97,584.02,583.97,584.02,764
1757666760000000,584.07,584.07,584.07,584.07,512
1757666820000000,584.03,584.03,583.99,584.02,1774
1757666880000000,584.03,584.05,584.03,584.05,1047
1757667000000000,583.98,583.98,583.94,583.94,1732
1757667060000000,583.97,583.97,583.97,583.97,318
1757667120000000,584.02,584.02,584.02,584.02,365
1757667300000000,584.02,584.07,584.02,584.07,762
1757667360000000,584.03,584.03,584,584.01,977
1757667420000000,584.08,584.08,584.08,584.08,427
1757667480000000,584.05,584.1,584.05,584.08,1584
1757667540000000,584.14,584.14,584.14,584.14,410
1757667600000000,584.13,584.14,584.13,584.14,1002
1757667720000000,584.08,584.08,584.08,584.08,713
1757667780000000,584.19,584.19,584.17,584.17,1432
1757667840000000,584.15,584.15,584.15,584.15,556
1757667900000000,584.11,584.11,584.11,584.11,241
1757667960000000,584.12,584.18,584.11,584.18,1007
1757668020000000,584.1,584.11,584.09,584.09,1280
1757668080000000,584.12,584.12,584.12,584.12,284
1757668140000000,584.13,584.15,584.12,584.12,1213
1757668200000000,584.11,584.14,584.11,584.13,953
1757668320000000,584.16,584.16,584.16,584.16,199
1757668380000000,584.17,584.17,584.17,584.17,315
1757668560000000,584.17,584.17,584.12,584.12,1085
1757668620000000,584.1,584.1,584.1,584.1,231
1757668680000000,584.1,584.11,584.1,584.11,835
1757668740000000,584.17,584.17,584.14,584.14,551
1757668800000000,584.11,584.11,584.11,584.11,222
1757668860000000,584.08,584.08,584.08,584.08,1228
1757668920000000,584.1,584.1,584.04,584.04,1345
