ts,o,h,l,c,v
1755763200000000,566.35,566.41,566.26,566.37,4008
1755763260000000,566.42,566.56,566.42,566.56,3774
1755763320000000,566.53,566.56,566.51,566.51,1952
1755763380000000,566.58,566.58,566.57,566.57,1403
1755763440000000,566.6,566.64,566.6,566.64,1847
1755763500000000,566.62,566.62,566.4,566.49,4946
1755763560000000,566.56,566.58,566.56,566.58,629
1755763620000000,566.63,566.63,566.58,566.58,1050
1755763680000000,566.74,566.75,566.66,566.68,2609
1755763740000000,566.71,566.71,566.6,566.63,2113
1755763800000000,566.55,566.57,566.35,566.35,3066
1755763860000000,566.23,566.23,566.13,566.13,2609
1755763920000000,566.13,566.39,566.13,566.39,1278
1755763980000000,566.36,566.36,566.36,566.36,649
1755764040000000,566.46,566.48,566.43,566.43,1694
1755764100000000,566.47,566.47,566.47,566.47,1610
1755764160000000,566.33,566.34,566.17,566.17,4411
1755764220000000,566.21,566.21,566.19,566.2,1135
1755764280000000,566.16,566.19,565.88,565.88,2935
1755764340000000,565.74,565.9,565.74,565.9,2499
1755764460000000,566.05,566.11,566.05,566.09,4192
1755764520000000,566.15,566.15,566.14,566.14,1146
1755764580000000,566.17,566.31,566.13,566.3,2227
1755764640000000,566.26,566.3,566.26,566.3,1183
1755764760000000,566.25,566.25,566.25,566.25,656
1755764820000000,566.26,566.27,566.23,566.23,1662
1755764880000000,566.3,566.32,566.3,566.31,1771
1755764940000000,566.41,566.41,566.41,566.41,1123
1755765000000000,566.52,566.54,566.52,566.54,595
1755765060000000,566.46,566.46,566.41,566.41,1378
1755765120000000,566.44,566.44,566.35,566.35,1505
1755765180000000,566.31,566.33,566.25,566.33,1400
1755765300000000,566.36,566.37,566.36,566.37,533
1755765360000000,566.43,566.43,566.39,566.39,613
1755765480000000,566.48,566.48,566.47,566.47,1568
1755765540000000,566.48,566.48,566.48,566.48,351
1755765600000000,566.46,566.46,566.46,566.46,615
1755765720000000,566.45,566.45,566.45,566.45,565
1755765780000000,566.43,566.43,566.42,566.42,464
1755765840000000,566.36,566.36,566.35,566.35,1396
1755765900000000,566.23,566.23,566.23,566.23,986
1755765960000000,566.2,566.32,566.19,566.29,2497
