ts,o,h,l,c,v
1755072000000000,581.5,581.5,581.13,581.14,12404
1755072060000000,581.21,581.28,581.2,581.28,3873
1755072120000000,581.45,581.45,581.32,581.32,1585
1755072180000000,581.42,581.55,581.4,581.55,5756
1755072240000000,581.5,581.54,581.5,581.54,1511
1755072300000000,581.6,581.6,581.48,581.48,3621
1755072360000000,581.51,581.56,581.51,581.55,3526
1755072420000000,581.62,581.62,581.5,581.62,8851
1755072480000000,581.61,581.62,581.6,581.6,840
1755072540000000,581.59,581.59,581.59,581.59,375
1755072660000000,581.65,581.65,581.64,581.65,9937
1755072720000000,581.66,581.66,581.66,581.66,227
1755072780000000,581.66,581.66,581.66,581.66,1083
1755072840000000,581.61,581.61,581.61,581.61,495
1755073020000000,581.65,581.65,581.65,581.65,157
1755073140000000,581.66,581.71,581.66,581.68,1212
1755073200000000,581.71,581.73,581.71,581.73,1471
1755073260000000,581.82,581.83,581.82,581.83,908
1755073380000000,581.7,581.8,581.7,581.8,966
1755073440000000,581.78,581.85,581.78,581.85,3408
1755073500000000,581.73,581.73,581.73,581.73,543
1755073560000000,581.75,581.75,581.74,581.74,1183
1755073680000000,581.76,581.76,581.75,581.75,812
1755073740000000,581.75,581.75,581.75,581.75,1148
1755073800000000,581.75,581.75,581.72,581.72,761
1755073860000000,581.84,581.84,581.84,581.84,1402
1755073920000000,581.82,581.83,581.82,581.83,1038
1755073980000000,581.85,581.85,581.85,581.85,1165
1755074040000000,581.89,581.96,581.89,581.93,1319
1755074100000000,581.96,581.98,581.95,581.98,1344
1755074160000000,581.97,582.05,581.97,582.05,5608
1755074220000000,582,582,581.96,581.97,2412
1755074280000000,582,582,581.92,581.92,500
1755074340000000,581.86,581.86,581.82,581.82,1096
1755074400000000,581.71,581.75,581.7,581.75,1915
1755074460000000,581.77,581.78,581.77,581.78,964
1755074520000000,581.76,581.78,581.76,581.76,2103
1755074580000000,581.65,581.65,581.65,581.65,953
1755074640000000,581.6,581.72,581.56,581.7,1566
1755074700000000,581.7,581.7,581.7,581.7,1242
1755074760000000,581.62,581.64,581.62,581.64,825
1755074820000000,581.61,581.61,581.56,581.56,519
1755074880000000,581.54,581.59,581.54,581.59,1129
1755075000000000,581.67,581.67,581.6,581.61,1417
1755075060000000,581.57,581.57,581.57,581.57,376
1755075120000000,581.58,581.59,581.58,581.59,1609
1755075240000000,581.71,581.71,581.71,581.71,296
1755075360000000,581.56,581.57,581.56,581.57,1106
1755075420000000,581.57,581.58,581.5,581.5,1715
1755075480000000,581.53,581.53,581.53,581.53,532
1755075600000000,581.55,581.55,581.54,581.54,1204
1755075660000000,581.55,581.57,581.55,581.57,2141
1755075720000000,581.5,581.5,581.5,581.5,1006
1755075780000000,581.51,581.51,581.51,581.51,318
1755075840000000,581.53,581.53,581.53,581.53,249
1755075900000000,581.45,581.45,581.41,581.41,739
1755075960000000,581.41,581.41,581.41,581.41,671
1755076140000000,581.44,581.45,581.42,581.45,2137
1755076260000000,581.42,581.5,581.42,581.5,902
1755076380000000,581.53,581.53,581.53,581.53,206
1755076440000000,581.59,581.59,581.59,581.59,163
1755076500000000,581.61,581.61,581.59,581.61,2333
1755076620000000,581.45,581.45,581.45,581.45,709
1755076680000000,581.44,581.44,581.44,581.44,496
1755076800000000,581.49,581.49,581.49,581.49,229
1755076860000000,581.54,581.57,581.54,581.57,602
1755076920000000,581.58,581.58,581.53,581.53,567
1755077100000000,581.49,581.49,581.48,581.48,700
1755077220000000,581.37,581.37,581.37,581.37,1086
1755077400000000,581.42,581.42,581.42,581.42,793
1755077460000000,581.38,581.4,581.38,581.4,266
1755077580000000,581.55,581.55,581.55,581.55,186
1755077640000000,581.53,581.53,581.53,581.53,250
1755077700000000,581.56,581.56,581.56,581.56,519
1755077760000000,581.52,581.52,581.52,581.52,249
1755077820000000,581.55,581.55,581.51,581.51,1123
1755077940000000,581.54,581.54,581.54,581.54,1026
1755078000000000,581.55,581.63,581.55,581.55,1632
1755078060000000,581.53,581.53,581.53,581.53,770
1755078120000000,581.45,581.45,581.45,581.45,515
1755078180000000,581.49,581.49,581.47,581.47,351
1755078300000000,581.5,581.5,581.5,581.5,1623
1755078360000000,581.57,581.58,581.57,581.58,630
1755078420000000,581.5,581.51,581.5,581.51,1037
1755078540000000,581.52,581.54,581.52,581.54,1129
1755078600000000,581.52,581.52,581.52,581.52,215
1755078720000000,581.57,581.57,581.57,581.57,511
1755078780000000,581.57,581.57,581.57,581.57,327
1755078900000000,581.66,581.76,581.66,581.76,1070
1755078960000000,581.8,581.88,581.8,581.87,2084
1755079020000000,581.84,581.87,581.84,581.87,1243
1755079140000000,581.92,581.92,581.89,581.89,527
1755079200000000,581.9,581.9,581.9,581.9,408
1755079320000000,581.84,581.84,581.78,581.78,768
1755079380000000,581.89,581.89,581.89,581.89,474
1755079440000000,581.9,581.9,581.86,581.88,1341
1755079500000000,581.82,581.82,581.8,581.8,519
1755079620000000,581.8,581.8,581.8,581.8,661
1755079680000000,581.89,581.9,581.89,581.9,446
1755079800000000,581.87,581.87,581.87,581.87,419
1755079860000000,581.81,581.82,581.81,581.82,542
1755079920000000,581.79,581.87,581.79,581.87,1491
1755079980000000,581.83,581.83,581.83,581.83,705
1755080040000000,581.87,581.87,581.85,581.85,935
1755080100000000,581.91,581.91,581.91,581.91,331
1755080220000000,581.93,581.93,581.93,581.93,911
1755080280000000,581.93,581.93,581.93,581.93,434
1755080340000000,581.97,581.99,581.97,581.99,4281
1755080520000000,581.9,581.9,581.9,581.9,374
1755080580000000,581.9,581.9,581.9,581.9,283
1755080700000000,581.85,581.85,581.85,581.85,610
1755080760000000,581.84,581.84,581.75,581.75,3417
1755080820000000,581.74,581.74,581.74,581.74,669
1755081000000000,581.76,581.76,581.76,581.76,317
1755081060000000,581.77,581.77,581.75,581.75,322
1755081120000000,581.72,581.73,581.72,581.73,322
1755081180000000,581.75,581.78,581.75,581.78,1574
1755081300000000,581.77,581.77,581.77,581.77,652
1755081360000000,581.81,581.81,581.81,581.81,558
1755081480000000,581.68,581.68,581.68,581.68,446
1755081660000000,581.66,581.66,581.66,581.66,364
1755081780000000,581.59,581.6,581.52,581.52,3756
