ts,o,h,l,c,v
1755244800000000,580.45,580.63,580.45,580.59,2568
1755244860000000,580.64,580.64,580.64,580.64,383
1755244920000000,580.64,580.64,580.64,580.64,232
1755244980000000,580.64,580.64,580.64,580.64,566
1755245100000000,580.75,580.84,580.75,580.84,2359
1755245160000000,580.7,580.7,580.7,580.7,288
1755245220000000,580.75,580.76,580.75,580.75,1599
1755245280000000,580.78,580.78,580.78,580.78,373
1755245400000000,580.75,580.79,580.75,580.77,946
1755245580000000,580.65,580.65,580.65,580.65,376
1755245640000000,580.61,580.68,580.59,580.68,1875
1755245820000000,580.62,580.62,580.62,580.62,137
1755246060000000,580.66,580.66,580.66,580.66,240
1755246180000000,580.5,580.5,580.47,580.47,238
1755246240000000,580.5,580.5,580.5,580.5,250
1755246480000000,580.42,580.42,580.42,580.42,557
1755246540000000,580.47,580.47,580.47,580.47,116
1755246780000000,580.31,580.31,580.31,580.31,268
1755247020000000,580.2,580.2,580.2,580.2,614
1755247080000000,580.05,580.05,579.97,579.97,741
1755247140000000,580.02,580.03,580.02,580.03,1193
1755247200000000,579.97,579.97,579.9,579.9,1118
1755247260000000,579.83,579.85,579.83,579.85,589
1755247320000000,579.8,579.8,579.8,579.8,655
1755247380000000,579.88,579.88,579.88,579.88,434
1755247440000000,579.96,579.96,579.96,579.96,405
1755247500000000,579.92,579.92,579.92,579.92,481
1755247560000000,579.7,579.7,579.65,579.65,785
1755247620000000,579.5,579.5,579.4,579.4,1268
1755247680000000,579.37,579.37,579.18,579.18,1826
1755247740000000,579.11,579.11,579.11,579.11,551
1755247800000000,579.06,579.34,579.06,579.34,2894
1755247860000000,579.36,579.36,579.24,579.24,7189
1755247920000000,579.28,579.28,579.28,579.28,239
1755248040000000,579.26,579.26,579.26,579.26,487
1755248160000000,579.34,579.35,579.34,579.35,1071
1755248220000000,579.35,579.43,579.35,579.43,2176
1755248280000000,579.35,579.35,579.35,579.35,243
1755248340000000,579.2,579.2,579.2,579.2,272
1755248520000000,579.22,579.22,579.22,579.22,265
1755248580000000,579.2,579.2,579.2,579.2,244
1755248700000000,579.11,579.11,579.11,579.11,922
1755248760000000,579.38,579.39,579.38,579.39,699
1755248880000000,579.32,579.33,579.27,579.28,2112
1755248940000000,579.33,579.33,579.33,579.33,625
1755249000000000,579.34,579.36,579.34,579.36,620
1755249120000000,579.42,579.45,579.42,579.45,1075
1755249180000000,579.49,579.49,579.49,579.49,958
1755249240000000,579.5,579.5,579.46,579.47,1677
1755249420000000,579.42,579.42,579.42,579.42,185
1755249660000000,579.34,579.34,579.34,579.34,362
1755249720000000,579.38,579.38,579.38,579.38,873
1755249780000000,579.39,579.39,579.39,579.39,209
1755249900000000,579.21,579.21,579.16,579.16,240
1755249960000000,579.34,579.34,579.34,579.34,1293
1755250200000000,579.36,579.36,579.31,579.31,657
1755250320000000,579.17,579.17,579.17,579.17,176
1755250440000000,579.2,579.2,579.16,579.16,768
1755250500000000,579.18,579.23,579.18,579.23,568
1755250680000000,579.21,579.21,579.15,579.15,646
1755250740000000,579.22,579.22,579.22,579.22,4926
1755250800000000,579.2,579.2,579.2,579.2,220
1755251040000000,579.27,579.27,579.27,579.27,409
1755251160000000,579.4,579.4,579.38,579.39,1148
1755251220000000,579.31,579.31,579.31,579.31,790
1755251280000000,579.35,579.35,579.33,579.33,1216
1755251340000000,579.32,579.38,579.31,579.38,960
1755251400000000,579.41,579.41,579.41,579.41,2618
1755251460000000,579.4,579.4,579.37,579.37,1526
1755251940000000,579.17,579.17,579.17,579.17,482
1755252000000000,579.05,579.08,579.05,579.08,810
1755252060000000,579,579,579,579,1642
1755252120000000,579.02,579.04,579,579.04,5947
1755252300000000,578.96,578.96,578.91,578.91,903
1755252360000000,579.07,579.07,579.07,579.07,460
1755252420000000,579.05,579.05,579.05,579.05,527
1755252960000000,579.25,579.25,579.25,579.25,227
1755253200000000,579.3,579.3,579.3,579.3,417
1755253320000000,579.39,579.39,579.39,579.39,307
1755253380000000,579.35,579.35,579.35,579.35,387
1755253800000000,579.45,579.45,579.45,579.45,657
1755253860000000,579.54,579.62,579.54,579.62,2131
1755253920000000,579.62,579.77,579.62,579.71,1123
1755253980000000,579.74,579.75,579.74,579.75,517
1755254040000000,579.78,579.79,579.76,579.79,1162
1755254280000000,579.63,579.63,579.61,579.61,1037
1755254340000000,579.63,579.63,579.63,579.63,673
1755254460000000,579.62,579.62,579.62,579.62,203
1755254580000000,579.7,579.7,579.69,579.69,577
1755254640000000,579.78,579.8,579.78,579.8,1354
1755254880000000,579.65,579.65,579.65,579.65,407
1755254940000000,579.73,579.73,579.73,579.73,287
1755255180000000,579.7,579.7,579.7,579.7,227
1755255300000000,579.73,579.73,579.73,579.73,601
1755255360000000,579.82,580.01,579.82,579.86,2653
1755255420000000,579.91,579.93,579.85,579.85,2669
1755255480000000,579.79,579.79,579.79,579.79,1447
1755255540000000,579.9,579.9,579.86,579.87,1616
1755255600000000,579.78,579.82,579.78,579.79,1753
1755255660000000,579.79,579.8,579.72,579.72,1354
1755255720000000,579.9,579.99,579.9,579.93,11128
1755255780000000,579.89,579.89,579.89,579.89,268
1755255840000000,579.92,579.92,579.92,579.92,699
1755255900000000,579.95,579.95,579.88,579.88,694
1755255960000000,579.85,579.85,579.85,579.85,415
1755256020000000,579.88,579.9,579.88,579.9,1489
1755256080000000,579.9,579.92,579.89,579.9,1668
1755256140000000,579.87,579.87,579.87,579.87,705
1755256200000000,579.9,579.91,579.9,579.91,1209
1755256260000000,579.9,579.92,579.9,579.91,1422
1755256320000000,579.97,579.97,579.94,579.94,1270
1755256380000000,579.93,579.93,579.85,579.85,692
1755256440000000,579.92,579.92,579.92,579.92,506
1755256500000000,579.89,579.89,579.89,579.89,382
1755256560000000,579.89,579.89,579.85,579.86,3454
1755256620000000,579.9,579.9,579.9,579.9,516
1755256680000000,579.92,579.96,579.92,579.96,710
1755256740000000,579.98,579.98,579.93,579.93,1100
1755256800000000,579.95,579.95,579.95,579.95,347
1755256860000000,579.98,579.99,579.95,579.95,1018
1755256920000000,579.95,579.95,579.95,579.95,830
1755256980000000,579.97,579.97,579.92,579.97,1991
1755257040000000,580,580.06,580,580.06,1864
1755257100000000,580.08,580.18,580.08,580.16,6281
1755257160000000,580.13,580.14,580.06,580.06,772
1755257280000000,580.15,580.15,580.13,580.13,851
1755257340000000,580.09,580.09,580.09,580.09,2047
1755257400000000,579.96,579.99,579.94,579.94,2824
1755257460000000,579.97,579.97,579.94,579.94,854
1755257520000000,580.05,580.05,580.01,580.01,2441
1755257640000000,580.09,580.09,579.98,580.04,1612
1755257760000000,580.03,580.1,580.03,580.1,1629
1755257820000000,580.07,580.09,580.06,580.09,1760
1755257940000000,580.06,580.1,580.06,580.1,2307
1755258000000000,580.08,580.08,580.08,580.08,741
1755258060000000,580.09,580.12,580.09,580.11,1526
1755258120000000,580.11,580.11,580.11,580.11,312
1755258180000000,580.14,580.15,580.11,580.15,743
1755258300000000,580.1,580.15,580.1,580.12,6762
1755258360000000,580.07,580.07,580.02,580.02,455
1755258480000000,580.08,580.08,580.08,580.08,409
1755258540000000,580.15,580.16,580.15,580.15,2875
1755258600000000,580.15,580.22,580.15,580.22,1548
1755258720000000,580.17,580.17,580.17,580.17,145
1755258780000000,580.2,580.2,580.15,580.15,2166
1755258900000000,580.16,580.16,580.16,580.16,289
1755258960000000,580.08,580.08,580.08,580.08,776
1755259080000000,580.07,580.07,580.01,580.01,2092
