ts,o,h,l,c,v
1755158400000000,644.56,644.65,644.54,644.55,652
1755158460000000,644.55,644.55,644.54,644.54,629
1755158520000000,644.7,644.71,644.7,644.7,1110
1755158580000000,644.72,644.72,644.72,644.72,208
1755158640000000,644.7,644.7,644.7,644.7,264
1755158700000000,644.71,644.71,644.71,644.71,370
1755158760000000,644.68,644.68,644.68,644.68,610
1755158820000000,644.65,644.65,644.65,644.65,380
1755158880000000,644.59,644.59,644.59,644.59,696
1755158940000000,644.63,644.63,644.63,644.63,781
1755159120000000,644.69,644.69,644.65,644.65,287
1755159240000000,644.66,644.66,644.63,644.63,700
1755159300000000,644.67,644.67,644.67,644.67,204
1755159420000000,644.7,644.7,644.7,644.7,472
1755159480000000,644.68,644.69,644.68,644.69,1093
1755159540000000,644.71,644.71,644.71,644.71,519
1755159720000000,644.78,644.78,644.78,644.78,294
1755159840000000,644.77,644.77,644.77,644.77,224
1755159900000000,644.77,644.77,644.77,644.77,347
1755159960000000,644.84,644.84,644.84,644.84,472
1755160020000000,644.81,644.81,644.8,644.8,699
1755160140000000,644.82,644.82,644.82,644.82,242
1755160380000000,644.85,644.85,644.85,644.85,802
1755160500000000,644.8,644.8,644.8,644.8,231
1755160620000000,644.74,644.74,644.73,644.73,909
1755160740000000,644.66,644.66,644.65,644.65,1743
1755161040000000,644.57,644.57,644.57,644.57,496
1755161340000000,644.55,644.55,644.55,644.55,199
1755161460000000,644.6,644.6,644.58,644.58,1826
1755161580000000,644.55,644.55,644.51,644.51,258
1755161640000000,644.55,644.55,644.55,644.55,139
1755161700000000,644.55,644.6,644.55,644.6,690
1755161760000000,644.57,644.58,644.57,644.58,600
1755162000000000,644.52,644.52,644.52,644.52,248
1755162120000000,644.57,644.57,644.57,644.57,152
1755162180000000,644.49,644.49,644.49,644.49,603
1755162360000000,644.53,644.53,644.52,644.52,798
1755162480000000,644.63,644.63,644.63,644.63,420
1755162660000000,644.67,644.67,644.67,644.67,381
1755162960000000,644.7,644.7,644.7,644.7,208
1755163200000000,644.74,644.74,644.74,644.74,103
1755163260000000,644.72,644.73,644.72,644.73,282
1755163500000000,644.63,644.63,644.63,644.63,723
1755163620000000,644.83,644.84,644.83,644.84,883
1755163680000000,644.82,644.86,644.82,644.86,416
1755163920000000,644.87,644.9,644.87,644.9,368
1755163980000000,644.92,644.92,644.92,644.92,265
1755164160000000,644.95,644.95,644.95,644.95,232
1755164340000000,644.93,644.93,644.93,644.93,171
1755164460000000,644.93,644.93,644.93,644.93,322
1755164520000000,644.87,644.87,644.84,644.84,718
1755164580000000,644.83,644.83,644.79,644.79,1155
1755164640000000,644.78,644.82,644.78,644.82,317
1755164760000000,644.83,644.83,644.83,644.83,433
1755164880000000,644.86,644.86,644.85,644.85,1908
1755164940000000,644.77,644.77,644.77,644.77,103
1755165060000000,644.78,644.78,644.76,644.76,1091
1755165120000000,644.73,644.73,644.73,644.73,261
1755165240000000,644.78,644.78,644.78,644.78,193
1755165600000000,644.75,644.75,644.75,644.75,1119
1755165660000000,644.77,644.86,644.77,644.83,559
1755165720000000,644.81,644.81,644.81,644.81,168
1755165780000000,644.77,644.77,644.76,644.76,240
1755165840000000,644.77,644.77,644.76,644.76,2129
1755165900000000,644.75,644.75,644.75,644.75,605
1755166020000000,644.71,644.71,644.71,644.71,308
1755166200000000,644.55,644.55,644.55,644.55,206
1755166260000000,644.59,644.6,644.59,644.6,400
1755166620000000,644.69,644.69,644.69,644.69,142
1755166800000000,644.56,644.56,644.56,644.56,390
1755166920000000,644.64,644.64,644.64,644.64,171
1755167280000000,644.56,644.56,644.56,644.56,185
1755167340000000,644.52,644.52,644.52,644.52,181
1755167400000000,644.54,644.56,644.54,644.56,234
1755167460000000,644.6,644.6,644.6,644.6,153
1755167640000000,644.7,644.7,644.69,644.69,1208
1755168060000000,644.66,644.66,644.66,644.66,238
1755168540000000,644.55,644.55,644.55,644.55,284
1755168720000000,644.46,644.46,644.46,644.46,188
1755168780000000,644.51,644.56,644.51,644.54,910
1755168840000000,644.54,644.54,644.54,644.54,451
1755168900000000,644.59,644.59,644.59,644.59,273
1755169140000000,644.58,644.58,644.58,644.58,287
1755169200000000,644.56,644.56,644.48,644.48,2183
1755169260000000,644.55,644.55,644.52,644.52,467
1755169440000000,644.55,644.55,644.55,644.55,196
1755169500000000,644.54,644.54,644.54,644.54,295
1755169860000000,644.58,644.58,644.58,644.58,368
1755169980000000,644.6,644.6,644.6,644.6,622
1755170100000000,644.63,644.63,644.63,644.63,271
1755170220000000,644.68,644.68,644.68,644.68,184
1755170280000000,644.61,644.62,644.6,644.6,3159
1755170340000000,644.64,644.64,644.64,644.64,214
1755170400000000,644.72,644.72,644.72,644.72,302
1755170460000000,644.74,644.74,644.74,644.74,317
1755170520000000,644.79,644.79,644.75,644.78,2265
1755170580000000,644.76,644.79,644.76,644.79,682
1755170640000000,644.8,644.8,644.78,644.78,1186
1755170880000000,644.78,644.78,644.78,644.78,335
1755170940000000,644.81,644.82,644.81,644.82,1209
1755171000000000,644.84,644.85,644.84,644.85,1134
1755171120000000,644.82,644.82,644.82,644.82,303
1755171240000000,644.82,644.82,644.82,644.82,687
1755171300000000,644.8,644.8,644.79,644.8,5452
1755171360000000,644.75,644.75,644.7,644.71,1361
1755171420000000,644.72,644.74,644.71,644.74,1380
1755171480000000,644.73,644.73,644.73,644.73,432
1755171540000000,644.71,644.71,644.7,644.7,500
1755171600000000,644.75,644.75,644.75,644.75,286
1755171660000000,644.78,644.78,644.78,644.78,719
1755171720000000,644.765,644.79,644.76,644.76,930
1755171780000000,644.73,644.75,644.73,644.73,10594
1755171840000000,644.75,644.8,644.75,644.8,3399
1755171900000000,644.81,644.81,644.8,644.81,1577
1755171960000000,644.8,644.82,644.8,644.82,1308
1755172020000000,644.83,644.85,644.82,644.82,1049
1755172080000000,644.85,644.85,644.85,644.85,394
1755172140000000,644.87,644.9,644.87,644.9,2999
