ts,o,h,l,c,v
1756195200000000,641.37,641.88,641.33,641.37,3618
1756195260000000,641.49,641.49,641.45,641.45,592
1756195320000000,641.48,641.5,641.44,641.44,745
1756195380000000,641.6,641.6,641.36,641.36,948
1756195440000000,641.38,641.38,641.38,641.38,431
1756195500000000,641.47,641.7,641.47,641.7,861
1756195620000000,641.55,641.55,641.54,641.54,943
1756195680000000,641.61,641.66,641.61,641.66,573
1756195740000000,641.66,641.66,641.66,641.66,334
1756195920000000,641.7,641.84,641.7,641.8,712
1756196040000000,641.8,641.8,641.79,641.79,618
1756196160000000,641.95,641.95,641.95,641.95,609
1756196220000000,641.79,641.9,641.79,641.9,1038
1756196280000000,641.94,641.94,641.94,641.94,391
1756196400000000,641.6,641.6,641.54,641.54,738
1756196460000000,641.55,641.6,641.55,641.6,2245
1756196580000000,641.46,641.5,641.46,641.5,669
1756196640000000,641.52,641.58,641.52,641.58,2537
1756196880000000,641.76,641.76,641.76,641.76,654
1756197000000000,641.6,641.6,641.6,641.6,448
1756197240000000,641.76,641.76,641.73,641.73,942
1756197360000000,641.7,641.7,641.64,641.64,801
1756197420000000,641.6,641.6,641.6,641.6,641
1756197480000000,641.55,641.55,641.55,641.55,253
1756197660000000,641.58,641.62,641.58,641.62,2613
1756197720000000,641.52,641.57,641.5,641.57,9290
1756198020000000,641.87,641.87,641.87,641.87,247
1756198080000000,641.88,641.88,641.88,641.88,1321
1756198140000000,641.9,641.9,641.9,641.9,364
1756198200000000,641.91,641.91,641.91,641.91,492
1756198260000000,641.86,641.86,641.86,641.86,1661
1756198500000000,641.8,641.8,641.8,641.8,186
1756198800000000,641.79,641.79,641.78,641.78,795
1756198860000000,641.65,641.67,641.6,641.67,1596
1756199160000000,641.9,641.9,641.9,641.9,314
1756199520000000,642.01,642.01,642.01,642.01,158
1756199940000000,642.11,642.11,642.11,642.11,547
1756200300000000,642.03,642.03,642.03,642.03,2006
1756200420000000,642.02,642.02,642.02,642.02,274
1756200480000000,642.03,642.03,642.03,642.03,191
1756200780000000,642.16,642.16,642.15,642.15,746
1756200900000000,642.25,642.25,642.25,642.25,380
1756201020000000,642.2,642.2,642.2,642.2,218
1756201140000000,642.12,642.12,642.12,642.12,576
1756201200000000,641.89,641.89,641.89,641.89,714
1756201860000000,642.01,642.01,642.01,642.01,505
1756202220000000,641.99,641.99,641.99,641.99,647
1756202340000000,642.13,642.13,642.07,642.07,605
1756202400000000,642.07,642.07,642.07,642.07,264
1756202460000000,642.25,642.28,642.25,642.28,2135
1756202520000000,642.19,642.25,642.19,642.25,762
1756202580000000,642.24,642.3,642.24,642.27,1015
1756202640000000,642.31,642.31,642.29,642.29,1278
1756202700000000,642.24,642.25,642.24,642.25,360
1756202760000000,642.17,642.17,642.15,642.15,304
1756202820000000,642.09,642.09,642.09,642.09,189
1756203000000000,642.21,642.21,642.2,642.2,846
1756203060000000,642.31,642.31,642.3,642.3,613
1756203120000000,642.23,642.23,642.23,642.23,330
1756203180000000,642.32,642.32,642.32,642.32,175
1756203240000000,642.41,642.41,642.41,642.41,542
1756203300000000,642.38,642.38,642.38,642.38,1126
1756203360000000,642.38,642.42,642.38,642.42,3222
1756203420000000,642.39,642.39,642.37,642.37,1655
1756203480000000,642.37,642.39,642.37,642.39,1398
1756203540000000,642.41,642.41,642.41,642.41,259
1756203660000000,642.27,642.27,642.27,642.27,348
1756203720000000,642.23,642.23,642.23,642.23,2054
1756203780000000,642.27,642.27,642.27,642.27,222
1756204200000000,642.28,642.28,642.28,642.28,368
1756204320000000,642.34,642.35,642.34,642.34,602
1756204380000000,642.41,642.41,642.41,642.41,174
1756204620000000,642.44,642.44,642.44,642.44,488
1756204680000000,642.43,642.44,642.43,642.44,730
1756205100000000,642.3,642.3,642.3,642.3,1196
1756205220000000,642.24,642.24,642.24,642.24,202
1756205580000000,642.28,642.28,642.21,642.25,8585
1756205940000000,642.29,642.29,642.29,642.29,402
1756206000000000,642.31,642.32,642.31,642.32,741
1756206120000000,642.26,642.26,642.25,642.25,978
1756206240000000,642.25,642.25,642.2,642.2,5227
1756206420000000,642.15,642.15,642.15,642.15,732
1756206660000000,642.16,642.21,642.16,642.18,796
1756206720000000,642.14,642.14,642.14,642.14,725
1756206780000000,642.18,642.18,642.15,642.15,1113
1756206900000000,642.02,642.02,642.02,642.02,381
1756206960000000,642,642,642,642,3837
1756207080000000,641.98,642,641.98,642,5094
1756207140000000,642,642,642,642,480
1756207200000000,641.94,641.94,641.92,641.94,556
1756207260000000,642,642,641.99,641.99,464
1756207320000000,641.99,641.99,641.98,641.98,556
1756207380000000,641.99,641.99,641.99,641.99,265
1756207440000000,642,642,642,642,2011
1756207500000000,642.01,642.01,642.01,642.01,759
1756207560000000,641.97,641.97,641.97,641.97,1144
1756207620000000,642.01,642.01,642.01,642.01,310
1756207680000000,642.04,642.06,642,642,2846
1756207740000000,641.94,641.94,641.94,641.94,938
1756207800000000,641.95,641.95,641.86,641.86,2291
1756207860000000,641.88,641.88,641.8,641.8,754
1756207920000000,641.79,641.79,641.79,641.79,194
1756207980000000,641.69,641.7,641.65,641.7,4796
1756208100000000,641.73,641.73,641.73,641.73,235
1756208220000000,641.67,641.68,641.67,641.67,1282
1756208280000000,641.65,641.66,641.64,641.64,3918
1756208460000000,641.71,641.72,641.71,641.72,489
1756208580000000,641.8,641.8,641.76,641.76,3157
1756208640000000,641.74,641.74,641.74,641.74,1018
1756208760000000,641.71,641.71,641.66,641.66,344
1756208820000000,641.64,641.64,641.64,641.64,193
1756208880000000,641.6,641.65,641.53,641.65,1776
1756208940000000,641.63,641.64,641.61,641.61,783
1756209000000000,641.74,641.77,641.74,641.75,724
1756209060000000,641.74,641.78,641.74,641.78,1192
1756209120000000,641.74,641.74,641.71,641.71,1358
1756209180000000,641.72,641.72,641.72,641.72,1102
1756209240000000,641.8,641.87,641.8,641.85,1687
1756209300000000,641.9,642.11,641.9,642.07,1715
1756209360000000,642.07,642.11,642.07,642.11,2440
1756209420000000,642.04,642.06,642,642.05,1499
1756209480000000,642.07,642.1,642.06,642.06,1728
1756209540000000,642.06,642.06,642.06,642.06,209
1756209600000000,642.23,642.5,640.73,641.35,37204
1756209660000000,641.61,641.9382,641.61,641.89,4462
1756209720000000,641.92,641.93,641.89,641.93,4081
1756209780000000,641.89,641.95,641.89,641.95,996
1756209840000000,641.89,641.89,641.8407,641.8407,1014
1756209900000000,641.87,641.87,641.87,641.87,1280
1756209960000000,641.929,641.929,641.929,641.929,711
1756210020000000,641.79,641.79,641.77,641.77,2532
1756210080000000,641.77,641.77,641.77,641.77,1034
1756210140000000,641.8499,641.8499,641.71,641.71,1421
1756210200000000,641.7101,641.7101,641.7101,641.7101,567
1756210260000000,641.85,641.85,641.8,641.8,553
1756210320000000,641.78,641.85,641.78,641.81,8611
1756210440000000,641.71,641.71,641.6,641.61,2350
1756210500000000,641.58,641.72,641.44,641.72,7574
1756210560000000,641.68,641.87,641.68,641.87,1256
1756210620000000,641.85,641.9,641.85,641.9,1233
1756210680000000,641.87,641.94,641.87,641.94,936
1756210740000000,641.98,641.98,641.93,641.93,983
1756210800000000,641.84,641.89,641.84,641.89,1062
1756210920000000,641.9791,642,641.9791,642,2466
1756210980000000,642.061,642.08,642.06,642.08,2164
1756211040000000,642.03,642.03,642.0019,642.03,1732
1756211100000000,642.04,642.05,641.93,641.9801,1251
1756211160000000,642.01,642.01,642.01,642.01,461
1756211220000000,642.01,642.0302,642.01,642.0302,702
1756211280000000,642.04,642.04,641.95,641.95,1904
1756211340000000,641.95,641.96,641.87,641.94,3270
1756211400000000,641.87,642.07,641.85,642.07,5838
1756211460000000,642.0801,642.15,642.06,642.1401,2517
1756211520000000,642.13,642.25,642.13,642.2,4555
1756211580000000,642.22,642.23,642.18,642.2,2841
1756211640000000,642.2,642.22,642.2,642.22,11946
1756211700000000,642.25,642.25,642.11,642.15,3625
1756211760000000,642.15,642.15,642.03,642.03,7249
1756211820000000,642,642.09,642,642.09,1371
1756211880000000,642.1,642.1,642.1,642.1,670
1756211940000000,642.11,642.13,642.11,642.13,1238
1756212000000000,642.2097,642.2097,642.13,642.17,3393
1756212060000000,642.21,642.22,642.21,642.22,6726
1756212120000000,642.19,642.19,642.16,642.16,2064
1756212180000000,642.09,642.17,642.07,642.17,3664
1756212240000000,642.17,642.17,642.1494,642.1494,1514
1756212300000000,642.17,642.19,642.16,642.18,974
1756212360000000,642.2,642.25,642.2,642.25,974
1756212420000000,642.24,642.25,642.23,642.23,5022
1756212480000000,642.2,642.2,642.2,642.2,723
1756212540000000,642.21,642.24,642.21,642.24,1717
1756212600000000,642.19,642.19,642.19,642.19,822
1756212660000000,642.19,642.27,642.17,642.27,1314
1756212720000000,642.27,642.27,642.27,642.27,1326
1756212780000000,642.21,642.21,642.18,642.18,746
1756212840000000,642.1,642.11,642,642.02,5026
1756212900000000,642.02,642.05,642,642.04,3627
1756213020000000,642.09,642.2,642.09,642.2,2754
1756213080000000,642.15,642.15,642.11,642.11,907
1756213140000000,642.0591,642.19,642.0591,642.18,1271
1756213200000000,642.19,642.2,642.09,642.19,2257
1756213260000000,642.18,642.23,642.1501,642.1501,2772
1756213320000000,642.2194,642.2194,642.1618,642.1618,743
1756213380000000,642.27,642.36,642.26,642.33,5869
