ts,o,h,l,c,v
1756368000000000,647.61,647.74,647.47,647.47,2917
1756368060000000,647.47,647.49,647.47,647.49,820
1756368120000000,647.45,647.5,647.45,647.48,1313
1756368180000000,647.52,647.52,647.52,647.52,691
1756368240000000,647.54,647.56,647.52,647.56,1334
1756368300000000,647.67,647.8,647.67,647.78,1156
1756368360000000,647.75,647.75,647.72,647.72,1249
1756368420000000,647.72,647.72,647.72,647.72,1624
1756368480000000,647.71,647.74,647.71,647.74,619
1756368600000000,647.66,647.66,647.66,647.66,831
1756368660000000,647.67,647.76,647.66,647.76,1418
1756368720000000,647.8,647.8,647.8,647.8,575
1756368840000000,647.81,647.83,647.75,647.75,2927
1756368900000000,647.71,647.71,647.71,647.71,479
1756369080000000,647.7,647.75,647.7,647.71,2155
1756369200000000,647.69,647.69,647.69,647.69,819
1756369260000000,647.63,647.63,647.63,647.63,246
1756369380000000,647.81,647.9,647.8,647.9,937
1756369440000000,647.91,647.91,647.84,647.86,1978
1756369500000000,647.71,647.72,647.69,647.69,4093
1756369620000000,647.62,647.62,647.62,647.62,734
1756369680000000,647.58,647.58,647.58,647.58,223
1756369860000000,647.45,647.45,647.45,647.45,404
1756370040000000,647.49,647.49,647.49,647.49,501
1756370160000000,647.42,647.42,647.42,647.42,409
1756370220000000,647.43,647.43,647.43,647.43,402
1756370340000000,647.43,647.43,647.43,647.43,119
1756370400000000,647.48,647.48,647.48,647.48,250
1756370460000000,647.49,647.49,647.49,647.49,717
1756370520000000,647.42,647.43,647.4,647.42,7860
1756370580000000,647.42,647.42,647.42,647.42,716
1756370640000000,647.32,647.35,647.32,647.35,1235
1756370700000000,647.32,647.32,647.32,647.32,539
1756370760000000,647.27,647.3,647.27,647.3,551
1756370820000000,647.32,647.32,647.32,647.32,249
1756371000000000,647.3,647.3,647.3,647.3,299
1756371120000000,647.28,647.28,647.22,647.23,3518
1756371180000000,647.25,647.25,647.24,647.24,408
1756371240000000,647.2,647.2,647.19,647.19,774
1756371360000000,647.14,647.14,647.14,647.14,254
1756371420000000,647.13,647.13,647.13,647.13,228
1756371480000000,647.13,647.2,647.13,647.2,664
1756371600000000,647.19,647.19,647.19,647.19,423
1756371660000000,647.17,647.17,647.17,647.17,248
1756372140000000,647.37,647.37,647.37,647.37,351
1756372200000000,647.39,647.4,647.39,647.4,415
1756372260000000,647.37,647.38,647.36,647.36,1795
1756372320000000,647.39,647.41,647.38,647.38,2513
1756372380000000,647.28,647.28,647.28,647.28,378
1756372500000000,647.24,647.24,647.24,647.24,1036
1756372800000000,647.16,647.16,647.16,647.16,201
1756372860000000,647.17,647.18,647.17,647.18,657
1756373100000000,647.1,647.1,647.09,647.09,501
1756373220000000,647.17,647.17,647.17,647.17,133
1756373280000000,647.12,647.12,647.12,647.12,656
1756373340000000,647.15,647.15,647.15,647.15,359
1756373580000000,647.02,647.02,647.02,647.02,340
1756373640000000,647.02,647.06,647.01,647.01,1411
1756373700000000,647.02,647.08,647.02,647.08,657
1756373760000000,647.13,647.13,647.13,647.13,286
1756373820000000,647.18,647.18,647.18,647.18,321
1756373880000000,647.18,647.18,647.18,647.18,760
1756374060000000,646.99,647,646.99,646.99,975
1756374120000000,647.02,647.02,647.02,647.02,248
1756374240000000,647,647,647,647,501
1756374300000000,647.09,647.09,647.09,647.09,579
1756374360000000,647,647,647,647,284
1756374600000000,647.05,647.05,647.05,647.05,201
1756374720000000,647.07,647.07,647.07,647.07,116
1756374780000000,647.02,647.02,647.02,647.02,206
1756374840000000,647.01,647.01,647.01,647.01,277
1756374900000000,647.05,647.05,647.05,647.05,262
1756375380000000,646.91,646.91,646.91,646.91,233
1756375440000000,647,647,647,647,334
1756376040000000,646.97,647.01,646.97,647,2043
1756376160000000,647.05,647.06,647.05,647.06,826
1756376340000000,646.98,646.98,646.98,646.98,131
1756376400000000,646.88,646.88,646.88,646.88,185
1756376460000000,646.9,646.9,646.9,646.9,154
1756376580000000,646.98,646.98,646.98,646.98,342
1756376820000000,647.13,647.14,647.13,647.14,673
1756376940000000,647,647,647,647,242
1756377060000000,646.92,646.92,646.92,646.92,135
1756377120000000,647.03,647.03,647.03,647.03,154
1756377420000000,647.03,647.03,647.02,647.02,2152
1756377480000000,646.98,647,646.98,647,1517
1756377540000000,646.85,646.87,646.85,646.87,1587
1756377600000000,646.77,646.77,646.77,646.77,568
1756377660000000,646.77,646.77,646.7,646.7,1995
1756377720000000,646.7,646.7,646.67,646.67,1347
1756377780000000,646.63,646.63,646.55,646.56,2458
1756377840000000,646.55,646.56,646.5,646.5,3212
1756377900000000,646.53,646.53,646.53,646.53,1219
1756378080000000,646.74,646.79,646.74,646.79,658
1756378140000000,646.73,646.73,646.71,646.71,915
1756378200000000,646.71,646.71,646.71,646.71,204
1756378260000000,646.61,646.61,646.6,646.6,1504
1756378380000000,646.81,646.81,646.81,646.81,201
1756378440000000,646.73,646.73,646.68,646.68,650
1756378500000000,646.75,646.75,646.74,646.74,1163
1756378800000000,646.8,646.82,646.77,646.79,3824
1756378860000000,646.88,646.88,646.85,646.85,1635
1756378920000000,646.79,646.79,646.79,646.79,181
1756378980000000,646.85,646.87,646.83,646.83,1297
1756379040000000,646.8,646.8,646.721,646.721,780
1756379100000000,646.72,646.75,646.7,646.7,1599
1756379160000000,646.66,646.66,646.63,646.63,1050
1756379220000000,646.59,646.6,646.57,646.57,1015
1756379280000000,646.58,646.58,646.56,646.58,3092
1756379340000000,646.58,646.61,646.58,646.59,892
1756379400000000,646.55,646.55,646.53,646.53,570
1756379460000000,646.53,646.54,646.53,646.54,504
1756379520000000,646.53,646.53,646.45,646.45,1368
1756379580000000,646.46,646.5,646.44,646.5,3947
1756379640000000,646.48,646.48,646.47,646.48,991
1756379700000000,646.49,646.49,646.49,646.49,200
1756379880000000,646.43,646.45,646.43,646.45,15883
1756379940000000,646.46,646.46,646.3,646.3,2989
1756380000000000,646.3,646.33,646.29,646.29,1748
1756380060000000,646.44,646.44,646.4,646.4,761
1756380240000000,646.41,646.41,646.38,646.39,670
1756380300000000,646.4,646.44,646.4,646.44,1326
1756380360000000,646.5,646.51,646.47,646.47,528
1756380420000000,646.45,646.45,646.441,646.441,2392
1756380480000000,646.48,646.48,646.46,646.46,2052
1756380540000000,646.47,646.48,646.43,646.43,4973
1756380600000000,646.44,646.53,646.39,646.53,3111
1756380660000000,646.54,646.55,646.45,646.45,7535
1756380720000000,646.42,646.42,646.3,646.33,27305
1756380780000000,646.41,646.51,646.3,646.51,28259
1756380840000000,646.48,646.52,646.48,646.52,5959
1756380900000000,646.54,646.6,646.54,646.6,7707
1756380960000000,646.6,646.6,646.53,646.53,1216
1756381020000000,646.5,646.5,646.5,646.5,435
1756381080000000,646.42,646.44,646.4,646.43,1661
1756381140000000,646.48,646.48,646.47,646.47,4811
1756381200000000,646.44,646.49,646.41,646.49,6694
1756381320000000,646.44,646.44,646.44,646.44,380
1756381380000000,646.53,646.54,646.53,646.54,313
1756381440000000,646.52,646.52,646.48,646.48,5911
1756381560000000,646.57,646.57,646.57,646.57,441
1756381620000000,646.55,646.55,646.55,646.55,604
1756381680000000,646.63,646.63,646.63,646.63,494
1756381740000000,646.69,646.69,646.69,646.69,662
1756381800000000,646.7,646.71,646.7,646.71,652
1756381860000000,646.79,646.8,646.79,646.8,764
1756381920000000,646.77,646.83,646.77,646.83,949
1756381980000000,646.86,646.87,646.84,646.86,936
1756382100000000,646.88,646.88,646.82,646.86,1637
1756382160000000,646.88,646.89,646.88,646.89,855
1756382220000000,646.88,646.88,646.88,646.88,645
1756382280000000,646.861,646.89,646.861,646.89,378
1756382340000000,646.89,646.97,646.89,646.97,4302
1756382400000000,646.87,647.67,645.92,646.96,61331
1756382460000000,646.94,647.04,646.94,647.02,18157
1756382520000000,647,647.02,647,647.01,1618
1756382580000000,647,647.08,646.99,647,31293
1756382640000000,646.96,646.96,646.96,646.96,390
1756382700000000,647.04,647.06,647.02,647.02,1287
1756382760000000,647.1,647.12,647.04,647.08,9728
1756382820000000,647.01,647.02,647.01,647.02,1484
1756383000000000,646.9,646.9,646.88,646.88,651
1756383120000000,646.85,646.8699,646.85,646.8699,626
1756383180000000,646.87,646.87,646.87,646.87,431
1756383240000000,646.809,646.82,646.77,646.7703,1457
1756383300000000,646.77,646.77,646.69,646.69,7205
1756383360000000,646.74,646.74,646.73,646.73,502
1756383480000000,646.67,646.67,646.67,646.67,696
1756383540000000,646.67,646.67,646.6,646.62,3908
1756383600000000,646.62,646.62,646.53,646.57,1722
1756383660000000,646.54,646.58,646.5,646.55,6610
1756383720000000,646.57,646.59,646.551,646.59,3148
1756383780000000,646.61,646.61,646.53,646.53,1316
1756383840000000,646.55,646.61,646.55,646.61,737
1756383900000000,646.6,646.6,646.56,646.58,569
1756383960000000,646.55,646.61,646.54,646.54,2080
1756384020000000,646.53,646.55,646.53,646.55,1611
1756384080000000,646.48,646.5001,646.48,646.5001,872
1756384140000000,646.45,646.54,646.45,646.54,921
1756384200000000,646.55,646.84,646.55,646.76,32486
1756384260000000,646.8,647.42,646.71,647.15,41161
1756384320000000,647.15,647.34,647.08,647.27,28481
1756384380000000,647.2,647.28,647.0992,647.23,8662
1756384440000000,647.23,647.25,647.1,647.13,15451
1756384500000000,647.1301,647.14,646.99,647.11,13351
1756384560000000,647.11,647.11,646.94,646.94,8500
1756384620000000,646.94,647.09,646.9,647.03,29607
1756384680000000,647.04,647.16,647.04,647.06,11068
1756384740000000,647.1,647.29,647.1,647.27,12168
1756384800000000,647.29,647.43,647.24,647.43,7242
1756384860000000,647.43,647.56,647.43,647.5403,20656
1756384920000000,647.57,647.58,647.46,647.56,11124
1756384980000000,647.54,647.5401,647.45,647.48,13978
1756385040000000,647.5,647.5,647.4,647.4,6949
1756385100000000,647.39,647.42,647.34,647.4,13150
1756385160000000,647.39,647.39,647.21,647.29,15302
1756385220000000,647.26,647.27,647.11,647.19,18671
1756385280000000,647.2,647.24,647.16,647.24,10658
1756385340000000,647.24,647.27,647.12,647.14,6042
1756385400000000,647.19,647.19,647.12,647.14,7109
1756385460000000,647.14,647.27,647.14,647.27,5254
1756385520000000,647.29,647.3,647.14,647.16,3726
1756385580000000,647.17,647.29,647.17,647.27,7493
1756385640000000,647.2708,647.3,647.2,647.2,4965
1756385700000000,647.18,647.27,647.14,647.25,7732
1756385760000000,647.29,647.35,647.24,647.34,14295
1756385820000000,647.32,647.33,647.14,647.2,18087
1756385880000000,647.2,647.2,647.13,647.14,5455
1756385940000000,647.14,647.16,647.12,647.1301,4057
1756386000000000,647.14,647.22,647.12,647.17,6462
1756386060000000,647.27,647.27,647.14,647.17,7037
1756386120000000,647.17,647.24,647.17,647.2,4410
1756386180000000,647.18,647.22,647.16,647.22,6362
1756386240000000,647.22,647.33,647.16,647.32,13032
1756386300000000,647.34,647.37,647.32,647.35,7290
1756386360000000,647.34,647.36,647.33,647.34,1551
1756386420000000,647.34,647.37,647.31,647.37,34413
1756386480000000,647.38,647.57,647.38,647.49,24370
1756386540000000,647.5,647.57,647.42,647.42,15349
1756386600000000,647.42,647.42,647.36,647.4,5053
1756386660000000,647.39,647.51,647.39,647.47,3577
1756386720000000,647.42,647.44,647.37,647.43,5246
1756386780000000,647.46,647.49,647.45,647.46,13337
1756386840000000,647.44,647.47,647.44,647.47,2941
