ts,o,h,l,c,v
1755590400000000,642.63,642.74,642.63,642.7,1984
1755590520000000,642.83,642.83,642.74,642.74,708
1755590640000000,642.83,642.83,642.82,642.82,362
1755590820000000,642.67,642.67,642.67,642.67,447
1755590940000000,642.6,642.61,642.6,642.61,1843
1755591060000000,642.49,642.49,642.49,642.49,593
1755591180000000,642.41,642.43,642.41,642.43,503
1755591360000000,642.47,642.47,642.47,642.47,499
1755591420000000,642.47,642.47,642.47,642.47,243
1755591600000000,642.46,642.46,642.43,642.43,443
1755591660000000,642.51,642.51,642.51,642.51,247
1755591780000000,642.62,642.62,642.62,642.62,492
1755591960000000,642.65,642.65,642.65,642.65,268
1755592620000000,642.61,642.61,642.61,642.61,391
1755592680000000,642.66,642.66,642.66,642.66,200
1755592740000000,642.65,642.65,642.65,642.65,330
1755592800000000,642.69,642.69,642.69,642.69,579
1755592860000000,642.72,642.72,642.72,642.72,515
1755592980000000,642.8,642.8,642.8,642.8,308
1755593040000000,642.81,642.81,642.79,642.79,670
1755593340000000,642.94,642.94,642.94,642.94,201
1755593400000000,642.97,642.97,642.94,642.94,312
1755593460000000,642.97,642.97,642.97,642.97,252
1755593520000000,642.94,642.94,642.94,642.94,359
1755593580000000,642.99,642.99,642.99,642.99,513
1755593640000000,643,643,643,643,188
1755593700000000,643,643,643,643,720
1755593820000000,642.98,642.99,642.98,642.99,309
1755594060000000,643,643,643,643,907
1755594240000000,642.97,642.97,642.97,642.97,340
1755594360000000,643.01,643.01,643.01,643.01,101
1755594540000000,643.06,643.06,643.06,643.06,140
1755594600000000,643.13,643.18,643.13,643.18,453
1755594660000000,643.16,643.16,643.16,643.16,284
1755594720000000,643.12,643.12,643.11,643.11,1373
1755594780000000,643.06,643.06,643.06,643.06,260
1755594960000000,643.11,643.12,643.1,643.12,1445
1755595020000000,643.12,643.15,643.12,643.15,1593
1755595080000000,643.15,643.15,643.15,643.15,597
1755595140000000,643.2,643.2,643.2,643.2,288
1755595260000000,643.2,643.25,643.2,643.25,2466
1755595320000000,643.28,643.35,643.25,643.32,5919
1755595380000000,643.26,643.27,643.26,643.27,331
1755595560000000,643.27,643.28,643.27,643.28,1204
1755595620000000,643.3,643.3,643.27,643.27,1199
1755595680000000,643.35,643.35,643.35,643.35,264
1755595740000000,643.33,643.34,643.32,643.34,2881
1755595800000000,643.33,643.33,643.33,643.33,2578
1755595920000000,643.31,643.31,643.31,643.31,329
1755595980000000,643.28,643.28,643.28,643.28,247
1755596040000000,643.33,643.33,643.33,643.33,225
1755596340000000,643.26,643.27,643.26,643.27,210
1755596760000000,643.23,643.23,643.23,643.23,163
1755597240000000,643.12,643.13,643.09,643.09,3130
1755597480000000,643.05,643.05,643.05,643.05,255
1755597600000000,643.01,643.01,642.63,642.79,6319
1755597660000000,642.7,642.7,642.7,642.7,327
1755597720000000,642.75,642.82,642.75,642.82,497
1755597780000000,642.83,642.84,642.8,642.8,1031
1755597840000000,642.86,642.86,642.86,642.86,231
1755597900000000,642.9,642.91,642.87,642.87,1880
1755598020000000,642.93,642.93,642.93,642.93,112
1755598560000000,642.92,642.94,642.91,642.92,6920
1755598620000000,642.81,642.88,642.81,642.88,655
