ts,o,h,l,c,v
1756108800000000,644.41,644.47,644.37,644.44,6255
1756108920000000,644.51,644.52,644.44,644.44,1995
1756108980000000,644.42,644.49,644.42,644.49,876
1756109040000000,644.5,644.5,644.5,644.5,402
1756109160000000,644.5,644.5,644.41,644.41,498
1756109220000000,644.48,644.49,644.48,644.49,893
1756109280000000,644.42,644.42,644.42,644.42,449
1756109340000000,644.42,644.42,644.42,644.42,850
1756109400000000,644.41,644.42,644.4,644.4,2871
1756109460000000,644.45,644.45,644.44,644.44,945
1756109520000000,644.4,644.4,644.4,644.4,1711
1756109580000000,644.41,644.41,644.41,644.41,696
1756109640000000,644.41,644.41,644.41,644.41,425
1756109700000000,644.4,644.4,644.36,644.36,613
1756109760000000,644.36,644.37,644.36,644.36,675
1756110000000000,644.32,644.32,644.32,644.32,297
1756110060000000,644.27,644.35,644.27,644.35,446
1756110120000000,644.24,644.28,644.23,644.28,1460
1756110480000000,644.5,644.51,644.5,644.51,775
1756110600000000,644.51,644.51,644.51,644.51,352
1756110660000000,644.54,644.55,644.54,644.54,961
1756110780000000,644.5,644.5,644.49,644.49,708
1756110960000000,644.53,644.53,644.53,644.53,211
1756111020000000,644.53,644.54,644.53,644.54,788
1756111080000000,644.55,644.55,644.55,644.55,321
1756111200000000,644.53,644.53,644.53,644.53,228
1756111260000000,644.45,644.45,644.45,644.45,164
1756111320000000,644.45,644.45,644.45,644.45,274
1756111380000000,644.43,644.43,644.43,644.43,165
1756111440000000,644.29,644.29,644.29,644.29,404
1756111500000000,644.25,644.3,644.24,644.3,1826
1756111620000000,644.2,644.2,644.2,644.2,317
1756111680000000,644.25,644.25,644.25,644.25,1064
1756111740000000,644.36,644.36,644.35,644.35,1157
1756111800000000,644.37,644.37,644.37,644.37,279
1756111860000000,644.36,644.36,644.36,644.36,321
1756111980000000,644.33,644.33,644.33,644.33,160
1756112100000000,644.23,644.23,644.21,644.21,338
1756112220000000,644.23,644.24,644.23,644.24,311
1756112280000000,644.25,644.25,644.25,644.25,254
1756112340000000,644.13,644.13,644.13,644.13,548
1756112520000000,644.1,644.1,644.01,644.02,3527
1756112640000000,644.13,644.13,644.13,644.13,1082
1756112760000000,644.12,644.12,644.12,644.12,371
1756112820000000,644.05,644.05,644.04,644.04,1277
1756112880000000,644,644,644,644,371
1756112940000000,644.03,644.03,644,644,3438
1756113060000000,643.97,643.97,643.96,643.97,1413
1756113120000000,643.92,643.92,643.92,643.92,466
1756113240000000,643.97,643.97,643.97,643.97,189
1756113300000000,644,644,644,644,320
