ts,o,h,l,c,v
1758009600000000,661.76,661.9,661.12,661.9,6375
1758009660000000,661.86,661.94,661.86,661.94,1573
1758009720000000,661.99,662.05,661.99,662.05,1627
1758009780000000,662.07,662.07,662.02,662.02,1400
1758009840000000,662.09,662.14,662.09,662.09,1525
1758009900000000,662.08,662.11,662.06,662.11,2102
1758009960000000,662.23,662.23,662.2,662.2,2461
1758010020000000,662.29,662.29,662.28,662.28,4627
1758010080000000,662.31,662.38,662.31,662.35,2288
1758010200000000,662.35,662.35,662.32,662.32,1172
1758010320000000,662.34,662.37,662.34,662.37,756
1758010440000000,662.36,662.36,662.35,662.35,1161
1758010500000000,662.37,662.4,662.37,662.4,2313
1758010560000000,662.44,662.45,662.44,662.45,852
1758010620000000,662.31,662.31,662.31,662.31,819
1758010680000000,662.37,662.37,662.37,662.37,898
1758010800000000,662.24,662.24,662.24,662.24,1123
1758010920000000,662.22,662.22,662.22,662.22,456
1758011040000000,662.3,662.3,662.19,662.3,2290
1758011100000000,662.39,662.39,662.37,662.37,739
1758011340000000,662.33,662.35,662.33,662.35,1988
1758011460000000,662.26,662.26,662.26,662.26,338
1758011520000000,662.3,662.34,662.3,662.34,680
1758011880000000,662.3,662.3,662.3,662.3,1417
1758012000000000,662.35,662.35,662.35,662.35,130
1758012060000000,662.36,662.37,662.36,662.37,975
1758012120000000,662.35,662.43,662.35,662.43,1785
1758012180000000,662.45,662.45,662.43,662.43,293
1758012300000000,662.42,662.42,662.42,662.42,383
1758012420000000,662.5,662.54,662.5,662.54,1486
1758012600000000,662.65,662.65,662.65,662.65,379
1758012660000000,662.65,662.65,662.65,662.65,233
1758012720000000,662.59,662.6,662.57,662.58,1595
1758012780000000,662.57,662.57,662.57,662.57,383
1758012840000000,662.57,662.57,662.57,662.57,360
1758012900000000,662.58,662.58,662.58,662.58,162
1758013020000000,662.47,662.47,662.42,662.42,537
1758013080000000,662.42,662.42,662.42,662.42,265
1758013380000000,662.52,662.54,662.52,662.52,532
1758013500000000,662.56,662.56,662.56,662.56,261
1758013740000000,662.6,662.6,662.6,662.6,304
1758013800000000,662.56,662.56,662.56,662.56,351
1758014100000000,662.55,662.55,662.55,662.55,217
1758014160000000,662.54,662.54,662.51,662.51,829
1758014340000000,662.35,662.35,662.3,662.34,1830
1758014400000000,662.29,662.29,662.29,662.29,435
1758014460000000,662.34,662.36,662.34,662.36,1080
1758014520000000,662.36,662.36,662.33,662.33,1030
1758014700000000,662.3,662.3,662.3,662.3,201
1758014880000000,662.38,662.4,662.38,662.4,2714
1758015000000000,662.36,662.36,662.33,662.33,338
1758015060000000,662.32,662.32,662.31,662.31,1210
1758015180000000,662.28,662.28,662.27,662.27,298
1758015240000000,662.19,662.19,662.19,662.19,262
1758015360000000,662.21,662.21,662.21,662.21,250
1758015420000000,662.13,662.13,662.11,662.11,467
1758015480000000,662.06,662.12,662.06,662.12,968
1758015540000000,662.06,662.06,662.06,662.06,435
1758015600000000,662.05,662.05,662.05,662.05,513
1758015660000000,662.12,662.12,662.11,662.11,430
1758015720000000,662.14,662.14,662.13,662.13,657
1758015900000000,662.16,662.16,662.16,662.16,525
1758016020000000,662.16,662.16,662.16,662.16,105
1758016140000000,662.13,662.13,662.13,662.13,167
1758016380000000,662.15,662.15,662.15,662.15,753
1758016860000000,662.17,662.17,662.17,662.17,256
1758016920000000,662.14,662.14,662.14,662.14,190
